epoch,model,dataset,seed,split_seed,layer,activation_entropy,train_loss,val_loss,train_accuracy,val_accuracy,val_generalization_gap,source_file
30,cnn,FashionMNIST,1,42,relu2,1.559855599013949,0.0220054011476039,0.4099649992465973,0.99276,0.9156,0.07716,cnn_FashionMNIST_seed1_entropy_history.csv
30,cnn,FashionMNIST,1,42,relu3,2.381737238403209,0.0220054011476039,0.4099649992465973,0.99276,0.9156,0.07716,cnn_FashionMNIST_seed1_entropy_history.csv
1,cnn,FashionMNIST,2,42,relu1,3.3358981429107075,0.5625564045143128,0.3771555331707,0.80076,0.8642,-0.0634399999999999,cnn_FashionMNIST_seed2_entropy_history.csv
1,cnn,FashionMNIST,2,42,relu2,3.041059366025786,0.5625564045143128,0.3771555331707,0.80076,0.8642,-0.0634399999999999,cnn_FashionMNIST_seed2_entropy_history.csv
1,cnn,FashionMNIST,2,42,relu3,2.885060317750887,0.5625564045143128,0.3771555331707,0.80076,0.8642,-0.0634399999999999,cnn_FashionMNIST_seed2_entropy_history.csv
2,cnn,FashionMNIST,2,42,relu1,3.404171036523012,0.3534789606285095,0.324989350605011,0.87398,0.8798,-0.00582,cnn_FashionMNIST_seed2_entropy_history.csv
2,cnn,FashionMNIST,2,42,relu2,2.833351671130167,0.3534789606285095,0.324989350605011,0.87398,0.8798,-0.00582,cnn_FashionMNIST_seed2_entropy_history.csv
2,cnn,FashionMNIST,2,42,relu3,2.7029610498754573,0.3534789606285095,0.324989350605011,0.87398,0.8798,-0.00582,cnn_FashionMNIST_seed2_entropy_history.csv
3,cnn,FashionMNIST,2,42,relu1,3.364562725853553,0.3025768769073486,0.2852331652879715,0.89244,0.8948,-0.00236,cnn_FashionMNIST_seed2_entropy_history.csv
3,cnn,FashionMNIST,2,42,relu2,2.545072735058161,0.3025768769073486,0.2852331652879715,0.89244,0.8948,-0.00236,cnn_FashionMNIST_seed2_entropy_history.csv
3,cnn,FashionMNIST,2,42,relu3,2.6081255302775666,0.3025768769073486,0.2852331652879715,0.89244,0.8948,-0.00236,cnn_FashionMNIST_seed2_entropy_history.csv
4,cnn,FashionMNIST,2,42,relu1,3.2916195890382207,0.2705348692512512,0.2740797351360321,0.90266,0.9001,0.00256,cnn_FashionMNIST_seed2_entropy_history.csv
4,cnn,FashionMNIST,2,42,relu2,2.500341652353696,0.2705348692512512,0.2740797351360321,0.90266,0.9001,0.00256,cnn_FashionMNIST_seed2_entropy_history.csv
4,cnn,FashionMNIST,2,42,relu3,2.544771410148277,0.2705348692512512,0.2740797351360321,0.90266,0.9001,0.00256,cnn_FashionMNIST_seed2_entropy_history.csv
5,cnn,FashionMNIST,2,42,relu1,3.2563860630166404,0.2475232491970062,0.2496632910370826,0.91,0.9104,-0.0003999999999999,cnn_FashionMNIST_seed2_entropy_history.csv
5,cnn,FashionMNIST,2,42,relu2,2.184284050840661,0.2475232491970062,0.2496632910370826,0.91,0.9104,-0.0003999999999999,cnn_FashionMNIST_seed2_entropy_history.csv
5,cnn,FashionMNIST,2,42,relu3,2.421248475177312,0.2475232491970062,0.2496632910370826,0.91,0.9104,-0.0003999999999999,cnn_FashionMNIST_seed2_entropy_history.csv
6,cnn,FashionMNIST,2,42,relu1,3.199406237312245,0.2284136971759796,0.2544323746442795,0.91696,0.9071,0.0098599999999999,cnn_FashionMNIST_seed2_entropy_history.csv
6,cnn,FashionMNIST,2,42,relu2,2.094899734832796,0.2284136971759796,0.2544323746442795,0.91696,0.9071,0.0098599999999999,cnn_FashionMNIST_seed2_entropy_history.csv
6,cnn,FashionMNIST,2,42,relu3,2.345679519840779,0.2284136971759796,0.2544323746442795,0.91696,0.9071,0.0098599999999999,cnn_FashionMNIST_seed2_entropy_history.csv
7,cnn,FashionMNIST,2,42,relu1,3.241890705894349,0.2114289506673813,0.2434714802861213,0.92304,0.9104,0.0126399999999999,cnn_FashionMNIST_seed2_entropy_history.csv
7,cnn,FashionMNIST,2,42,relu2,2.174070851138543,0.2114289506673813,0.2434714802861213,0.92304,0.9104,0.0126399999999999,cnn_FashionMNIST_seed2_entropy_history.csv
7,cnn,FashionMNIST,2,42,relu3,2.404988600904743,0.2114289506673813,0.2434714802861213,0.92304,0.9104,0.0126399999999999,cnn_FashionMNIST_seed2_entropy_history.csv
8,cnn,FashionMNIST,2,42,relu1,3.2336920309838977,0.1979122778081894,0.2395308341026306,0.9277,0.9113,0.0163999999999999,cnn_FashionMNIST_seed2_entropy_history.csv
8,cnn,FashionMNIST,2,42,relu2,2.002345435352684,0.1979122778081894,0.2395308341026306,0.9277,0.9113,0.0163999999999999,cnn_FashionMNIST_seed2_entropy_history.csv
8,cnn,FashionMNIST,2,42,relu3,2.295368943535203,0.1979122778081894,0.2395308341026306,0.9277,0.9113,0.0163999999999999,cnn_FashionMNIST_seed2_entropy_history.csv
9,cnn,FashionMNIST,2,42,relu1,3.2126477234458286,0.1834760186815262,0.2349993736863136,0.9326,0.9162,0.0163999999999999,cnn_FashionMNIST_seed2_entropy_history.csv
9,cnn,FashionMNIST,2,42,relu2,2.0624380217404585,0.1834760186815262,0.2349993736863136,0.9326,0.9162,0.0163999999999999,cnn_FashionMNIST_seed2_entropy_history.csv
9,cnn,FashionMNIST,2,42,relu3,2.364623071067096,0.1834760186815262,0.2349993736863136,0.9326,0.9162,0.0163999999999999,cnn_FashionMNIST_seed2_entropy_history.csv
10,cnn,FashionMNIST,2,42,relu1,3.1561622871659902,0.1723832414197921,0.2416680229902267,0.93642,0.912,0.0244199999999999,cnn_FashionMNIST_seed2_entropy_history.csv
10,cnn,FashionMNIST,2,42,relu2,1.9057631779814477,0.1723832414197921,0.2416680229902267,0.93642,0.912,0.0244199999999999,cnn_FashionMNIST_seed2_entropy_history.csv
10,cnn,FashionMNIST,2,42,relu3,2.364674919612646,0.1723832414197921,0.2416680229902267,0.93642,0.912,0.0244199999999999,cnn_FashionMNIST_seed2_entropy_history.csv
11,cnn,FashionMNIST,2,42,relu1,3.1223654988308804,0.1617789619779586,0.2313094425559043,0.94106,0.9187,0.02236,cnn_FashionMNIST_seed2_entropy_history.csv
11,cnn,FashionMNIST,2,42,relu2,1.948180889273611,0.1617789619779586,0.2313094425559043,0.94106,0.9187,0.02236,cnn_FashionMNIST_seed2_entropy_history.csv
11,cnn,FashionMNIST,2,42,relu3,2.314096406050972,0.1617789619779586,0.2313094425559043,0.94106,0.9187,0.02236,cnn_FashionMNIST_seed2_entropy_history.csv
12,cnn,FashionMNIST,2,42,relu1,3.1896696854527207,0.1503662507581711,0.232554259109497,0.9439,0.9147,0.0292,cnn_FashionMNIST_seed2_entropy_history.csv
12,cnn,FashionMNIST,2,42,relu2,1.7620495316459222,0.1503662507581711,0.232554259109497,0.9439,0.9147,0.0292,cnn_FashionMNIST_seed2_entropy_history.csv
12,cnn,FashionMNIST,2,42,relu3,2.203060758204568,0.1503662507581711,0.232554259109497,0.9439,0.9147,0.0292,cnn_FashionMNIST_seed2_entropy_history.csv
13,cnn,FashionMNIST,2,42,relu1,3.0862308856002105,0.1387189616584777,0.2322697596549987,0.94934,0.9173,0.0320399999999999,cnn_FashionMNIST_seed2_entropy_history.csv
13,cnn,FashionMNIST,2,42,relu2,1.709669437043834,0.1387189616584777,0.2322697596549987,0.94934,0.9173,0.0320399999999999,cnn_FashionMNIST_seed2_entropy_history.csv
13,cnn,FashionMNIST,2,42,relu3,2.227430796220323,0.1387189616584777,0.2322697596549987,0.94934,0.9173,0.0320399999999999,cnn_FashionMNIST_seed2_entropy_history.csv
14,cnn,FashionMNIST,2,42,relu1,3.0470989613106063,0.1272922321724891,0.2434117271065712,0.95316,0.9118,0.0413599999999999,cnn_FashionMNIST_seed2_entropy_history.csv
14,cnn,FashionMNIST,2,42,relu2,1.7231380368834972,0.1272922321724891,0.2434117271065712,0.95316,0.9118,0.0413599999999999,cnn_FashionMNIST_seed2_entropy_history.csv
14,cnn,FashionMNIST,2,42,relu3,2.2374347494310745,0.1272922321724891,0.2434117271065712,0.95316,0.9118,0.0413599999999999,cnn_FashionMNIST_seed2_entropy_history.csv
15,cnn,FashionMNIST,2,42,relu1,3.088696424906259,0.1199850162220001,0.2498875923633575,0.95544,0.9147,0.04074,cnn_FashionMNIST_seed2_entropy_history.csv
15,cnn,FashionMNIST,2,42,relu2,1.7697515729923374,0.1199850162220001,0.2498875923633575,0.95544,0.9147,0.04074,cnn_FashionMNIST_seed2_entropy_history.csv
15,cnn,FashionMNIST,2,42,relu3,2.283968844684997,0.1199850162220001,0.2498875923633575,0.95544,0.9147,0.04074,cnn_FashionMNIST_seed2_entropy_history.csv
16,cnn,FashionMNIST,2,42,relu1,3.117345806598662,0.108231755785942,0.2618716893672943,0.96004,0.9112,0.0488399999999999,cnn_FashionMNIST_seed2_entropy_history.csv
16,cnn,FashionMNIST,2,42,relu2,1.7705446687167743,0.108231755785942,0.2618716893672943,0.96004,0.9112,0.0488399999999999,cnn_FashionMNIST_seed2_entropy_history.csv
16,cnn,FashionMNIST,2,42,relu3,2.269208938067236,0.108231755785942,0.2618716893672943,0.96004,0.9112,0.0488399999999999,cnn_FashionMNIST_seed2_entropy_history.csv
17,cnn,FashionMNIST,2,42,relu1,3.07777720763833,0.0999524484634399,0.2487680752515793,0.96284,0.9161,0.04674,cnn_FashionMNIST_seed2_entropy_history.csv
17,cnn,FashionMNIST,2,42,relu2,1.6715095802998332,0.0999524484634399,0.2487680752515793,0.96284,0.9161,0.04674,cnn_FashionMNIST_seed2_entropy_history.csv
17,cnn,FashionMNIST,2,42,relu3,2.234183439921526,0.0999524484634399,0.2487680752515793,0.96284,0.9161,0.04674,cnn_FashionMNIST_seed2_entropy_history.csv
18,cnn,FashionMNIST,2,42,relu1,3.0178640735778277,0.0900998067951202,0.2670782855510711,0.96704,0.9142,0.05284,cnn_FashionMNIST_seed2_entropy_history.csv
18,cnn,FashionMNIST,2,42,relu2,1.7201476497442347,0.0900998067951202,0.2670782855510711,0.96704,0.9142,0.05284,cnn_FashionMNIST_seed2_entropy_history.csv
18,cnn,FashionMNIST,2,42,relu3,2.263880499250471,0.0900998067951202,0.2670782855510711,0.96704,0.9142,0.05284,cnn_FashionMNIST_seed2_entropy_history.csv
19,cnn,FashionMNIST,2,42,relu1,3.093703852482768,0.0828673404097557,0.2780337945818901,0.96942,0.9118,0.0576199999999998,cnn_FashionMNIST_seed2_entropy_history.csv
19,cnn,FashionMNIST,2,42,relu2,1.7124720428801117,0.0828673404097557,0.2780337945818901,0.96942,0.9118,0.0576199999999998,cnn_FashionMNIST_seed2_entropy_history.csv
19,cnn,FashionMNIST,2,42,relu3,2.242984482093697,0.0828673404097557,0.2780337945818901,0.96942,0.9118,0.0576199999999998,cnn_FashionMNIST_seed2_entropy_history.csv
20,cnn,FashionMNIST,2,42,relu1,3.098066670685101,0.0742763815712928,0.2847855224490165,0.9721,0.9133,0.0587999999999999,cnn_FashionMNIST_seed2_entropy_history.csv
20,cnn,FashionMNIST,2,42,relu2,1.6381948346611797,0.0742763815712928,0.2847855224490165,0.9721,0.9133,0.0587999999999999,cnn_FashionMNIST_seed2_entropy_history.csv
20,cnn,FashionMNIST,2,42,relu3,2.2659432284087115,0.0742763815712928,0.2847855224490165,0.9721,0.9133,0.0587999999999999,cnn_FashionMNIST_seed2_entropy_history.csv
21,cnn,FashionMNIST,2,42,relu1,3.1095900094476696,0.0692628356742858,0.2872666988134384,0.97438,0.9144,0.05998,cnn_FashionMNIST_seed2_entropy_history.csv
